team,valor_mercado_avg
afc bournemouth,191.6
arsenal,487.64
aston villa,180.0
birmingham city,95.0
blackburn rovers,86.0
blackpool,50.0
bolton wanderers,95.0
brighton and hove albion,208.25
burnley,137.0
cardiff city,100.5
chelsea,662.09
crystal palace,177.88
everton,299.09
fulham,154.5
huddersfield town,121.5
hull city,107.0
leeds united,238.0
leicester city,301.0
liverpool,571.91
manchester city,698.55
manchester united,560.45
middlesbrough,129.0
newcastle united,195.1
norwich city,96.6
queens park rangers,104.33
reading,46.0
sheffield united,144.5
southampton,223.22
stoke city,127.5
sunderland,123.57
swansea city,129.43
tottenham hotspur,515.91
watford,189.6
west bromwich albion,108.89
west ham united,221.9
wigan athletic,82.0
wolverhampton wanderers,247.0
